id,Direcci�n_,Colonia_y/,Nivel_m�ni,Nivel_m�xi,Total_de_e,Total_de_0,Mecanismo_,Origen_de_,Sistema_af,Tipo_de_si,Valor_de_p,Fuente,Municipio,Registro_d,Registro_0,Con_regist,Promedio_d,Evaluaci�n,Acciones_d,Acciones_0,Nivel_de_p,Nivel_de_r,Fecha_de_i,layer,path,NOMBRE,x,y
SRI-314,Calle Naranjos & Av. �vila Camacho,Puente El hediondo,S/D,3 m,Al menos 4 veces,"40",Est�tica,Pluvial y fluvial,V�a p�blica,Recurrente,Alta,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOTLANEJO,700475.799,2280871.449
SRI-315,Av. �vila Camacho & Reforma,Puente de Huisquilco,S/D,10 cm,Al menos 8 veces,"80",Est�tica,Pluvial,V�a p�blica,Recurrente,Baja,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOTLANEJO,701140.854,2280994.920
SRI-316,Calle Ju�rez & Hidalgo,Colonia El Trapiche,S/D,20 cm,Al menos 4 veces,"40",Est�tica,Pluvial,V�a p�blica y vivienda,Nuevo,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOTLANEJO,703731.201,2281512.218
SRI-319,Calle Galeana & Matamoros,Localidad de Santa Fe,S/D,1 m,De entre 4 a 6 eventos por temporal,"5",Din�mica y est�tica,Fluvial,V�a p�blica y vivienda,Recurrente,Alta,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOTLANEJO,699742.091,2270771.192
SRI-314,Calle Naranjos & Av. �vila Camacho,Puente El hediondo,10 cm,300 cm,"41",,Est�tica y din�mica,Pluvial y fluvial,V�a p�blica,Recurrente,,Grupo de Trabajo de Inundaciones,Zapotlanejo,S/D,"1",no,3.000000000000000,Se mantiene la recurrencia,Sin acciones,Limpieza y desazolve en boca de tormenta,Alta,Medio,"2020",vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2022/vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022.shp,ZAPOTLANEJO,700475.799,2280871.449
SRI-315,Av. �vila Camacho & Reforma,Puente de Huisquilco,S/D,10 cm,"80",,Est�tica,Pluvial,V�a p�blica,Recurrente,,Grupo de Trabajo de Inundaciones,Zapotlanejo,S/D,S/D,no,6.000000000000000,"Se mantiene la recurrencia, pero en los �ltimos 2 a�os no ha registrado inundaciones",Sin acciones,Limpieza y desazolve en boca de tormenta,Media,Medio,"2020",vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2022/vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022.shp,ZAPOTLANEJO,701140.854,2280994.920
SRI-316,Calle Ju�rez & Hidalgo,Colonia El Trapiche,S/D,20 cm,"40",,Est�tica,Pluvial,V�a p�blica y vivienda,Recurrente,,Grupo de Trabajo de Inundaciones,Zapotlanejo,S/D,S/D,no,6.000000000000000,"Se mantiene la recurrencia, pero en los �ltimos 2 a�os no ha registrado inundaciones",Limpieza y desazolve de infraestructura,Sin acciones,Baja,Bajo,"2020",vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2022/vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022.shp,ZAPOTLANEJO,703731.201,2281512.218
SRI-319,Calle Galeana & Matamoros,Localidad de Santa Fe,S/D,100 cm,"9",,Est�tica y din�mica,Fluvial,V�a p�blica y vivienda,Recurrente,,Grupo de Trabajo de Inundaciones,Zapotlanejo,"4",S/D,no,0.500000000000000,Disminuye la recurrencia,Sin acciones,Demolici�n de vivienda,Alta,Alto,"2021",vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2022/vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2022.shp,ZAPOTLANEJO,699742.091,2270771.192
SRI-316,Calle Ju�rez & Hidalgo,Colonia El Trapiche,S/D,20 cm,,,Est�tica,Pluvial,V�a p�blica y vivienda,Recurrente,,"Sesi�n de trabajo 14/04/2023 con personal de Ecolog�a y Medio Ambiente, Gesti�n Integral de la Ciudad y la Unidad de PCyB del municipio de Zapotlanejo",Zapotlanejo,S/D,S/D,15 de agosto de 2022 - UEPCB/DG-3579/DES-0316/cl-0115//2022,,,Limpieza y desazolve de infraestructura,Sin acciones,Media,Bajo,"2020",vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2023,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2023/vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2023.shp,ZAPOTLANEJO,703731.201,2281512.218
SRI-319,Calle Galeana & Matamoros,Localidad de Santa Fe,S/D,100 cm,,,Est�tica y din�mica,Fluvial,V�a p�blica y vivienda,Recurrente,,"Sesi�n de trabajo 14/04/2023 con personal de Ecolog�a y Medio Ambiente, Gesti�n Integral de la Ciudad y la Unidad de PCyB del municipio de Zapotlanejo",Zapotlanejo,"4",S/D,"01 de julio 2012 - DIGELAG ACU 035/2012
01 de julio 2012 - DIGELAG ACU 035/2012",,,Sin acciones,Demolici�n de vivienda,Alta,Alto,"2021",vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2023,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2023/vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2023.shp,ZAPOTLANEJO,699742.091,2270771.192
SRI-314,Calle Naranjos & Av. �vila Camacho,Puente El hediondo,10 cm,300 cm,,,Est�tica y din�mica,Pluvial y fluvial,V�a p�blica,Recurrente,,"Sesi�n de trabajo 14/04/2023 con personal de Ecolog�a y Medio Ambiente, Gesti�n Integral de la Ciudad y la Unidad de PCyB del municipio de Zapotlanejo",Zapotlanejo,S/D,"1",no,,,Sin acciones,Limpieza y desazolve en boca de tormenta,Alta,Medio,"2020",vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2023,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2023/vwAMG_Nivel_de_Priorizacion_de_los_Sitios_Recurrentes_2023.shp,ZAPOTLANEJO,700475.799,2280871.449
